symbol,side,entry_time,exit_time,rank,score,feature_score,estimated_win_rate,selection_score,entry_price,exit_price,stop_loss,take_profit,risk_pct,net_r,gross_r,cost_r,mfe_r,mae_r,win,close_reason
SPCXUSDT,SHORT,2026-06-18T15:10:00+00:00,2026-06-18T15:34:59.999000+00:00,1,15.71,100.0,0.725,76.3565,179.34,175.9711891668,181.0244054166,175.9711891668,0.939225,1.3098,1.394977,0.085177,2.220368,-0.938016,True,TP
SPCXUSDT,LONG,2026-06-18T17:55:00+00:00,2026-06-18T18:04:59.999000+00:00,1,20.24,86.44,0.6316,67.1983,180.16,178.7557728731,178.7557728731,182.9684542538,0.779433,-1.229873,-1.127235,0.102639,0.719257,-1.053961,False,SL
SPCXUSDT,LONG,2026-06-18T19:45:00+00:00,2026-06-18T19:49:59.999000+00:00,1,51.72,100.0,0.675,79.758,188.46,187.1262110114,187.1262110114,191.1275779772,0.707731,-1.253264,-1.140227,0.113037,0.254913,-2.361693,False,SL
HEIUSDT,LONG,2026-06-18T19:50:00+00:00,2026-06-18T19:54:59.999000+00:00,1,34.07,100.0,0.725,79.1105,0.09187,0.0908080025,0.0908080025,0.093993995,1.155979,-1.154669,-1.085464,0.069205,0.103578,-1.224108,False,SL
SYNUSDT,LONG,2026-06-18T20:30:00+00:00,2026-06-18T20:39:59.999000+00:00,1,54.68,77.25,0.6022,67.0525,0.14451,0.14523255,0.14089725,0.1517355,2.5,0.52742,0.55942,0.032,1.190229,-1.619265,True,LOCKED_STOP
BLESSUSDT,LONG,2026-06-18T21:00:00+00:00,2026-06-18T21:24:59.999000+00:00,1,27.85,93.33,0.6537,72.3222,0.006648,0.0067780432,0.0065829784,0.0067780432,0.978063,1.314515,1.396309,0.081794,2.291546,-0.01538,True,TP
SYNUSDT,SHORT,2026-06-19T00:30:00+00:00,2026-06-19T00:34:59.999000+00:00,1,47.5,80.21,0.6117,67.6864,0.13021,0.1330653044,0.1330653044,0.1244993912,2.192846,-1.083108,-1.046626,0.036482,0.686442,-1.358874,False,SL
BEATUSDT,LONG,2026-06-19T02:35:00+00:00,2026-06-19T02:44:59.999000+00:00,1,25.02,100.0,0.725,77.753,1.673,1.7195130044,1.6497434978,1.7195130044,1.390108,1.36905,1.4266,0.057549,2.579924,-0.68798,True,TP
BEATUSDT,LONG,2026-06-19T02:45:00+00:00,2026-06-19T02:49:59.999000+00:00,1,41.21,100.0,0.675,78.1815,1.726,1.77589605,1.701051975,1.77589605,1.445424,1.374004,1.429351,0.055347,2.1645,-0.400833,True,TP
HEIUSDT,LONG,2026-06-19T02:50:00+00:00,2026-06-19T02:59:59.999000+00:00,1,39.51,100.0,0.675,77.9265,0.09532,0.094303517,0.094303517,0.097352966,1.06639,-1.167747,-1.092728,0.075019,0.334487,-1.534703,False,SL
